rGA:n2-Pc1-Pm0.01,rGA:n2-Pc0.9-Pm0.01,rGA:n2-Pc0.5-Pm0.01,rGA:n2-Pc0.1-Pm0.01,rGA:n2-Pc0-Pm0.01
3.09295,3.9214900000000004,3.8288699999999998,2.9628400000000004,3.42558
3.09295,3.8982300000000003,3.8288699999999998,2.85087,3.40981
3.09295,3.8981,3.8288699999999998,2.85087,3.40981
3.08738,3.89433,3.7996800000000004,2.85087,3.40959
3.06419,3.89433,3.79851,2.82442,3.40959
3.06419,3.8182099999999997,3.79851,2.82442,3.40959
3.06419,3.7920599999999998,3.79851,2.82442,3.4080199999999996
3.04091,3.7643,3.79851,2.82442,3.4080199999999996
3.0171,3.7543800000000003,3.79532,2.82442,3.3752199999999997
3.0159,3.7543800000000003,3.7867800000000003,2.82442,3.3752199999999997
3.0159,3.7261900000000003,3.77483,2.80875,3.19592
3.0159,3.7261900000000003,3.77315,2.77251,3.19117
3.0159,3.7119800000000005,3.7464800000000005,2.77251,3.19117
3.0159,3.6963800000000004,3.7464800000000005,2.76293,3.19117
3.01507,3.6963800000000004,3.6813599999999997,2.76293,3.18897
3.00366,3.6919999999999997,3.6735300000000004,2.76293,3.18897
3.00366,3.6863099999999998,3.65729,2.75631,3.18572
3.00144,3.6863099999999998,3.6238300000000003,2.75631,3.00002
3.00144,3.6863099999999998,3.5921,2.6713299999999998,3.00002
2.99618,3.61131,3.59179,2.6713299999999998,2.99782
2.99618,3.6102800000000004,3.59179,2.64938,2.99782
2.99618,3.6102800000000004,3.59179,2.64269,2.8799200000000003
2.99214,3.59968,3.59179,2.64269,2.8674
2.99214,3.57885,3.40374,2.62134,2.8674
2.99214,3.57885,3.40374,2.62134,2.8674
2.99214,3.57885,3.40374,2.62134,2.8506
2.91105,3.57885,3.40374,2.61048,2.7570099999999997
2.91105,3.57885,3.4027300000000005,2.61048,2.7570099999999997
2.88262,3.57885,3.3692699999999998,2.61048,2.7570099999999997
